listing_id,host_id,host_since,city,neighbourhood,property_type,room_type,price_per_night,minimum_nights,number_of_reviews,last_review_date,review_score,availability_365,instant_bookable,host_is_superhost,cancellation_policy,description
717,2630,2015-01-07,Nairobi,Kilimani,Villa,Hotel room,"KES 20,707",7,194,2020-08-20,3.64,36,False,N,Strict ,
718,4373,2020-10-30,Eldoret,CBD,House,Entire home/apt,6787$,three,191,2020-01-20,3.74,300,1,Y,strict,Modern loft -- newly renovated
719,4969,2025-05-19,Nakuru,CBD,Villa,Shared room,21169,seven,67,2017-05-20,4.07,141,Y,Y,strict,Luxury villa with pool & gym access
720,4324,2024-01-17,Kisumu,Milimani,Bungalow,Hotel room,14961,2,241,,3.73,42,N,Y,Strict ,Modern loft -- newly renovated
721,3546,2021-01-14,Eldoret,CBD,Apartment,Private room,14902,5,89,,4.95,115,0,1,Strict ,Cozy place near city center
722,1753,2022-09-14,Nakuru,Kilimani,Villa,Private room,8933,seven,9,,4.92,340,No,False,,Affordable stay $$$
723,3082,2023-01-25,Kisumu,Kilimani,Villa,Shared room,24058,7,263,2017-11-28,4.0,83,1,No,Strict ,Affordable stay $$$
724,3774,2025-07-18,Nairobi,Nyali,House,Entire home/apt,"KES 12,784",3,267,2024-10-10,4.46,258,Y,No,Strict ,
725,3896,2023-04-28,Nakuru,Langata,Apartment,Hotel room,6326,14,117,2022-01-11,4.3,359,True,N,super_strict_30,Affordable stay $$$
726,1089,2023-04-07,Kisumu,Langata,Condo,Shared room,5164,3,249,2016-03-23,4.4,86,No,True,strict,
727,1775,2022-07-09,Nairobi,Nyali,Condo,Private room,12028,7,58,2016-11-11,,342,1,Yes,moderate,"Quiet neighborhood, perfect for families"
728,3652,2017-03-18,Eldoret,Westlands,Loft,Entire home/apt,"KES 1,997",3,194,,,346,Yes,Yes,flexible,Affordable stay $$$
729,4993,2019-01-31,Eldoret,Langata,Villa,Hotel room,9141,14,49,,,290,1,True,moderate,Modern loft -- newly renovated
730,4017,2019-11-02,Eldoret,Kilimani,Villa,Shared room,6143,,295,,4.44,95,N,Yes,Flexible,Spacious apartment with great view!!!
731,2625,2015-10-14,Eldoret,Kilimani,Apartment,Hotel room,6556,7,96,,2.0,254,N,Y,flexible,
732,4069,2025-08-22,Mombasa,Langata,Bungalow,Entire home/apt,1631$,seven,126,,4.64,341,Y,False,super_strict_30,Cozy place near city center
733,1417,2022-06-13,Nakuru,Kilimani,Condo,Entire home/apt,6943,3,245,2020-06-10,4.62,135,True,False,Flexible,Modern loft -- newly renovated
734,1114,2025-04-29,Nakuru,Nyali,Loft,Private room,18741,14,86,2016-02-17,3.5,247,No,Yes,strict,"Quiet neighborhood, perfect for families"
735,1616,2018-09-14,Mombasa,Milimani,Apartment,Entire home/apt,14943,three,76,,4.85,91,1,0,flexible,Cozy place near city center
736,4974,2021-12-27,Kisumu,Milimani,Villa,Shared room,10212,30,203,2025-09-17,4.86,246,0,True,Strict ,Luxury villa with pool & gym access
737,4267,2018-07-09,Kisumu,CBD,Condo,Hotel room,"KES 9,721",14,145,,4.29,257,1,1,Flexible,Affordable stay $$$
738,1825,2022-06-10,Eldoret,Parklands,Loft,Entire home/apt,17160$,2,148,2015-06-21,4.41,186,N,True,super_strict_30,Modern loft -- newly renovated
739,4572,2024-07-05,Nairobi,Parklands,House,Entire home/apt,7647,30,110,,4.99,123,Yes,No,flexible,Affordable stay $$$
740,2649,2016-05-25,Kisumu,Milimani,Condo,Shared room,13088,three,128,2015-01-30,3.95,259,False,True,Strict ,Spacious apartment with great view!!!
741,2516,2023-01-27,Nairobi,Karen,Loft,Hotel room,6104,1,252,2020-10-31,3.99,168,True,Yes,Flexible,"Quiet neighborhood, perfect for families"
742,4146,2025-02-03,Nakuru,Nyali,Apartment,Hotel room,10952,seven,165,2023-07-16,3.77,364,N,False,super_strict_30,Luxury villa with pool & gym access
743,1412,2018-05-15,Nairobi,Kilimani,House,Private room,19442,5,296,2020-06-13,4.84,110,False,True,Flexible,"Quiet neighborhood, perfect for families"
744,4447,2020-09-08,Nakuru,Langata,Loft,Private room,17899,three,136,2018-10-12,4.62,289,N,Y,flexible,Cozy place near city center
745,4491,2018-06-20,Mombasa,Milimani,Loft,Hotel room,5105,,278,2018-10-10,,86,No,True,Strict ,Cozy place near city center
746,1728,2022-06-24,Mombasa,Nyali,Villa,Shared room,14784,30,10,2024-12-25,3.66,12,Yes,1,strict,"Quiet neighborhood, perfect for families"
747,4348,2019-07-31,Eldoret,Milimani,Bungalow,Shared room,3107,,70,2018-07-15,,262,Yes,N,,
748,4068,2018-08-29,Kisumu,Westlands,Condo,Private room,23819,30,158,2025-07-21,,287,No,0,super_strict_30,
749,3808,2019-07-07,Eldoret,Kilimani,Villa,Entire home/apt,"KES 13,209",2,215,2019-06-21,4.97,22,False,Yes,flexible,
750,1675,2022-10-26,Nakuru,Westlands,House,Shared room,3516,1,25,2015-08-23,4.6,199,0,Yes,Strict ,
751,4465,2018-04-26,Eldoret,Kilimani,Bungalow,Entire home/apt,5074,5,285,2024-10-16,4.78,241,Y,0,strict,"Quiet neighborhood, perfect for families"
752,2892,2021-03-20,Nairobi,Nyali,Loft,Shared room,15041,2,161,2016-02-15,3.57,238,Y,N,Flexible,
753,3504,2016-06-05,Nakuru,CBD,Villa,Hotel room,8774,three,101,,4.26,302,No,False,Strict ,Affordable stay $$$
754,3967,2017-02-24,Mombasa,Milimani,Bungalow,Private room,"KES 11,435",,68,2019-07-04,,164,No,Y,,Cozy place near city center
755,3239,2019-09-19,Kisumu,Milimani,Condo,Entire home/apt,17248,30,132,2024-12-16,4.55,225,0,N,strict,Affordable stay $$$
756,3786,2022-06-16,Nakuru,Karen,House,Entire home/apt,21675,three,188,2015-04-16,4.31,175,False,1,flexible,Spacious apartment with great view!!!
757,4760,2025-07-18,Nakuru,Langata,Apartment,Hotel room,7906,14,210,2024-09-29,,28,No,True,Strict ,"Quiet neighborhood, perfect for families"
758,2122,2019-04-02,Nairobi,Westlands,Villa,Shared room,"KES 13,326",1,242,2025-08-31,4.5,164,1,No,,
759,2571,2022-08-06,Kisumu,Milimani,House,Entire home/apt,"KES 18,972",seven,165,2024-02-21,4.73,22,0,False,Strict ,"Quiet neighborhood, perfect for families"
760,1977,2023-05-23,Mombasa,Nyali,Apartment,Shared room,2861$,14,60,2020-01-26,4.06,293,Y,True,moderate,Modern loft -- newly renovated
761,2008,2025-02-14,Nakuru,CBD,Villa,Hotel room,5973,,278,2022-05-22,4.77,43,N,Y,super_strict_30,
762,3143,2016-12-13,Nakuru,Langata,House,Private room,23178,1,112,2020-10-10,3.74,260,0,N,Strict ,Cozy place near city center
763,2687,2021-11-26,Nairobi,Nyali,House,Entire home/apt,24990,1,29,2017-02-08,3.91,179,1,No,,Spacious apartment with great view!!!
764,3710,2021-05-20,Eldoret,Westlands,Bungalow,Shared room,8819,three,160,,3.57,295,Y,N,strict,Cozy place near city center
765,4261,2018-05-17,Mombasa,Karen,Villa,Entire home/apt,"KES 10,167",14,233,2025-07-25,4.05,138,True,N,super_strict_30,Modern loft -- newly renovated
766,4807,2019-07-22,Kisumu,Milimani,House,Shared room,"KES 10,981",three,169,2015-03-10,4.07,333,False,True,flexible,Luxury villa with pool & gym access
767,1036,2021-02-22,Nakuru,Nyali,Loft,Shared room,10020,three,185,2024-10-17,4.71,247,1,No,,Spacious apartment with great view!!!
768,4851,2024-05-07,Nakuru,Langata,Villa,Shared room,"KES 19,070",three,56,,4.48,240,1,Yes,super_strict_30,Luxury villa with pool & gym access
769,4440,2015-01-02,Mombasa,Kilimani,House,Hotel room,21298,,239,2018-08-26,4.16,105,False,1,moderate,Cozy place near city center
770,4766,2018-05-29,Eldoret,CBD,Bungalow,Private room,"KES 23,370",30,256,2017-08-14,,172,Yes,1,flexible,Modern loft -- newly renovated
771,2548,2018-03-21,Nakuru,Langata,Apartment,Entire home/apt,5036,30,200,2019-06-28,4.48,48,No,No,Strict ,"Quiet neighborhood, perfect for families"
772,3326,2017-05-10,Mombasa,Nyali,Apartment,Private room,3273,,105,2023-11-27,3.58,122,False,True,,"Quiet neighborhood, perfect for families"
773,3264,2019-10-27,Nairobi,CBD,Loft,Shared room,11755,5,289,,3.77,34,N,1,Flexible,Affordable stay $$$
774,3914,2023-10-24,Eldoret,Milimani,Villa,Shared room,23299,seven,100,2025-06-12,4.44,105,Y,Y,flexible,
775,1872,2021-07-03,Kisumu,Kilimani,Bungalow,Private room,4058,2,96,2020-05-04,4.46,327,Yes,N,,Luxury villa with pool & gym access
776,2821,2021-10-20,Nakuru,Karen,House,Private room,23791,seven,152,2024-08-11,4.66,195,True,No,flexible,Cozy place near city center
777,2296,2022-05-05,Mombasa,Langata,House,Entire home/apt,6579,,28,2016-02-16,,108,0,True,moderate,
778,4952,2018-08-12,Nairobi,Karen,Apartment,Shared room,24608,3,152,2018-04-18,4.1,124,Y,0,strict,"Quiet neighborhood, perfect for families"
779,3109,2020-03-19,Kisumu,Kilimani,Bungalow,Private room,23304,2,72,2022-12-26,,326,N,1,flexible,Cozy place near city center
780,1595,2019-12-15,Mombasa,CBD,Loft,Hotel room,15841,5,253,,4.58,294,False,1,,Modern loft -- newly renovated
781,2903,2019-12-17,Mombasa,Milimani,Apartment,Shared room,21175,7,3,2021-05-31,4.53,346,False,No,strict,"Quiet neighborhood, perfect for families"
782,1728,2022-07-30,Kisumu,Nyali,Apartment,Shared room,"KES 11,481",2,236,2023-01-14,4.95,36,False,N,super_strict_30,Luxury villa with pool & gym access
783,2365,2017-05-25,Nairobi,Kilimani,Loft,Entire home/apt,5024,1,37,2016-06-07,3.82,187,Y,False,Flexible,Cozy place near city center
784,1396,2020-09-24,Nairobi,Westlands,Villa,Hotel room,21388,,19,2015-12-23,4.33,336,True,Y,moderate,Spacious apartment with great view!!!
785,1698,2020-04-22,Eldoret,CBD,House,Entire home/apt,10498,7,112,2022-07-19,4.4,22,True,False,Strict ,Spacious apartment with great view!!!
786,4090,2023-11-26,Nakuru,Karen,Villa,Hotel room,23873,seven,22,2024-10-23,5.0,260,0,False,,Spacious apartment with great view!!!
787,3224,2025-02-08,Kisumu,Langata,Bungalow,Entire home/apt,15197,7,135,2025-01-19,3.8,193,True,True,,Cozy place near city center
788,2635,2025-10-06,Kisumu,Kilimani,Condo,Hotel room,"KES 20,550",,247,2016-04-18,4.28,365,N,0,,"Quiet neighborhood, perfect for families"
789,1395,2023-12-05,Kisumu,Karen,Condo,Hotel room,15106,seven,,2021-01-23,,151,N,False,flexible,Cozy place near city center
790,3492,2023-04-03,Nairobi,CBD,Condo,Hotel room,"KES 14,929",,96,2017-05-16,4.02,17,False,True,Flexible,
791,4304,2016-11-26,Nakuru,Karen,Loft,Private room,17539,14,32,,4.29,26,Yes,Yes,Flexible,
792,4986,2022-05-22,Eldoret,Kilimani,Apartment,Shared room,8640,3,134,2022-11-06,3.85,23,No,True,strict,"Quiet neighborhood, perfect for families"
793,1075,2015-12-14,Mombasa,CBD,Villa,Hotel room,10285,5,254,,,28,1,N,flexible,Luxury villa with pool & gym access
794,1264,2018-03-08,Mombasa,Westlands,House,Private room,16401,5,277,2023-01-10,,138,Yes,1,,"Quiet neighborhood, perfect for families"
795,3502,2020-10-12,Kisumu,Kilimani,Condo,Private room,"KES 24,779",1,132,,3.57,145,Yes,1,Flexible,
796,2819,2022-06-12,Nakuru,Nyali,Villa,Entire home/apt,21991,3,237,2018-08-30,3.7,122,0,Y,,Cozy place near city center
797,1717,2022-02-05,Nairobi,Parklands,Condo,Shared room,4780,3,14,2023-08-05,4.0,127,Y,Yes,,
798,3782,2021-12-11,Nakuru,Milimani,Condo,Shared room,3712$,1,276,2023-01-24,,116,False,1,,"Quiet neighborhood, perfect for families"
799,4455,2018-10-04,Nakuru,Kilimani,House,Entire home/apt,16713,seven,125,2020-05-04,,131,No,True,moderate,Modern loft -- newly renovated
800,4635,2016-01-18,Nairobi,CBD,Bungalow,Shared room,"KES 9,578",1,16,2022-07-09,3.77,288,Yes,No,Strict ,
801,1850,2024-03-06,Kisumu,Langata,Bungalow,Entire home/apt,17436,seven,49,,3.99,205,0,False,super_strict_30,"Quiet neighborhood, perfect for families"
802,4577,2025-09-04,Nakuru,Milimani,Bungalow,Private room,18497,1,134,,,235,0,0,super_strict_30,
803,2390,2023-06-04,Mombasa,Kilimani,Loft,Private room,15774,2,117,2023-02-19,3.57,41,Yes,0,strict,Spacious apartment with great view!!!
804,1143,2017-08-20,Nairobi,Westlands,Apartment,Hotel room,2368,2,59,2023-12-03,4.93,159,Yes,No,Flexible,Affordable stay $$$
805,1884,2022-07-18,Eldoret,Langata,Loft,Entire home/apt,18695,14,124,2024-10-11,4.37,251,Yes,False,super_strict_30,Spacious apartment with great view!!!
806,4140,2018-06-25,Kisumu,Westlands,Villa,Private room,17542$,30,115,2021-06-17,4.4,178,Y,Yes,strict,Spacious apartment with great view!!!
807,4170,2017-07-09,Nairobi,Nyali,Loft,Private room,"KES 16,907",1,172,2021-09-26,,124,False,No,Strict ,Spacious apartment with great view!!!
808,1395,2024-01-17,Eldoret,Langata,Villa,Entire home/apt,22746,3,186,,4.13,259,Y,False,,Spacious apartment with great view!!!
809,4096,2017-03-26,Eldoret,Karen,Villa,Private room,22061,2,87,2025-03-17,4.85,275,Y,N,flexible,"Quiet neighborhood, perfect for families"
810,3995,2016-08-26,Nakuru,Parklands,Apartment,Shared room,"KES 17,754",three,202,2023-04-03,,212,No,Y,moderate,
811,3938,2015-04-11,Nakuru,Langata,House,Private room,"KES 3,244",seven,181,2022-05-02,4.22,323,1,1,Strict ,Cozy place near city center
812,2492,2015-07-09,Nakuru,Milimani,Apartment,Entire home/apt,3756,2,167,2021-04-20,4.36,189,Y,Y,Strict ,Luxury villa with pool & gym access
813,4555,2017-09-29,Nairobi,Langata,Bungalow,Shared room,13359,2,180,2019-11-25,4.24,57,0,Yes,super_strict_30,Affordable stay $$$
814,4636,2020-04-30,Nairobi,CBD,Bungalow,Shared room,6923,,299,2017-07-04,4.6,202,False,Y,super_strict_30,Luxury villa with pool & gym access
815,4222,2021-11-08,Kisumu,Parklands,Loft,Private room,6589,seven,129,2018-04-06,4.35,79,N,1,moderate,Spacious apartment with great view!!!
816,2167,2024-07-12,Nakuru,CBD,Villa,Hotel room,8108,5,148,,3.91,227,No,N,flexible,Cozy place near city center
817,3616,2023-08-14,Eldoret,Karen,Condo,Shared room,"KES 11,217",7,208,,3.72,94,True,False,Strict ,Modern loft -- newly renovated
818,2062,2015-10-26,Mombasa,Langata,Condo,Entire home/apt,19353,seven,110,2025-07-05,4.41,3,Yes,1,Flexible,Spacious apartment with great view!!!
819,3156,2020-02-09,Kisumu,Westlands,Villa,Hotel room,20559,14,136,,3.5,164,1,1,super_strict_30,
820,4764,2019-08-25,Nairobi,Westlands,Apartment,Hotel room,19397,,210,2021-06-04,3.64,299,N,1,Strict ,Modern loft -- newly renovated
821,2065,2024-12-08,Kisumu,Kilimani,House,Shared room,6376,seven,145,2024-07-27,4.09,41,No,No,flexible,"Quiet neighborhood, perfect for families"
822,2209,2022-01-23,Kisumu,Nyali,Apartment,Private room,"KES 19,335",seven,83,2019-04-07,4.27,284,N,False,strict,Luxury villa with pool & gym access
823,3982,2021-06-15,Kisumu,Milimani,Villa,Hotel room,22538,30,29,2015-01-07,4.74,228,True,Y,flexible,"Quiet neighborhood, perfect for families"
824,3445,2017-03-07,Kisumu,Parklands,Villa,Private room,4507$,,64,2021-08-13,3.61,242,No,N,Strict ,Affordable stay $$$
825,4294,2023-01-21,Mombasa,Nyali,House,Shared room,"KES 15,825",seven,23,2024-07-01,4.02,211,False,1,Strict ,"Quiet neighborhood, perfect for families"
826,1633,2022-10-23,Nakuru,Langata,Loft,Entire home/apt,"KES 4,624",7,210,2019-10-02,4.73,299,Y,0,moderate,Luxury villa with pool & gym access
827,2156,2019-04-22,Eldoret,Nyali,Loft,Hotel room,3253,7,221,2019-02-04,4.47,54,Yes,True,Strict ,Affordable stay $$$
828,4234,2020-07-17,Kisumu,Kilimani,House,Entire home/apt,19496$,three,89,2025-06-22,3.93,335,N,0,super_strict_30,
829,2238,2019-06-25,Kisumu,Nyali,Loft,Private room,4775,,105,2020-10-29,4.77,172,No,N,Flexible,Spacious apartment with great view!!!
830,1732,2017-09-26,Kisumu,Parklands,Condo,Private room,10247,5,171,2021-08-16,,276,N,True,moderate,
831,1234,2016-08-27,Nakuru,Karen,Loft,Entire home/apt,"KES 13,943",seven,229,2019-06-08,4.24,333,True,1,Strict ,Cozy place near city center
832,4914,2022-05-11,Nairobi,Kilimani,Loft,Shared room,19933,30,76,,4.25,228,0,False,flexible,Cozy place near city center
833,3705,2022-09-17,Nairobi,Karen,Loft,Shared room,2324,30,67,2018-07-18,,29,0,Yes,Strict ,Affordable stay $$$
834,1750,2015-01-23,Mombasa,Langata,Condo,Hotel room,15380,3,91,,4.96,22,Y,Y,flexible,Modern loft -- newly renovated
835,3635,2025-01-04,Nairobi,Kilimani,Loft,Hotel room,12541,5,87,2024-05-22,,4,True,0,flexible,Spacious apartment with great view!!!
836,4080,2023-06-03,Kisumu,Langata,Bungalow,Shared room,"KES 20,914",30,49,2022-08-17,4.92,62,Y,1,Strict ,Luxury villa with pool & gym access
837,4145,2024-08-25,Kisumu,Langata,Condo,Shared room,"KES 2,581",7,102,2021-09-29,4.04,220,Yes,0,flexible,Affordable stay $$$
838,1953,2023-08-21,Kisumu,Nyali,House,Entire home/apt,13017,3,45,2023-05-18,3.71,314,Y,N,Flexible,Spacious apartment with great view!!!
839,3539,2024-12-05,Mombasa,Karen,Apartment,Private room,23183,1,178,2023-12-27,3.99,81,False,True,strict,Cozy place near city center
840,3960,2016-03-12,Kisumu,Langata,House,Private room,"KES 18,376",30,266,2015-05-21,3.55,241,N,Y,moderate,Cozy place near city center
841,4324,2023-09-24,Nairobi,Karen,Apartment,Hotel room,6264$,14,267,2018-06-19,3.53,252,0,True,Strict ,Cozy place near city center
842,4301,2019-10-08,Nakuru,Karen,House,Shared room,9766,,7,2022-09-21,4.09,51,Y,Yes,,"Quiet neighborhood, perfect for families"
843,2542,2017-06-15,Nakuru,Kilimani,Bungalow,Entire home/apt,12683,30,264,,4.91,320,0,1,strict,Spacious apartment with great view!!!
844,2197,2016-12-21,Eldoret,CBD,Apartment,Hotel room,21244$,2,77,2022-12-03,4.81,38,0,False,flexible,
845,2676,2024-01-07,Nairobi,Nyali,Apartment,Entire home/apt,22566,5,239,2022-01-28,4.27,258,N,Y,flexible,Modern loft -- newly renovated
846,2191,2025-09-28,Kisumu,Langata,Villa,Shared room,18212,2,257,2020-07-20,4.35,326,N,N,moderate,Affordable stay $$$
847,3217,2022-10-21,Nakuru,Karen,Apartment,Shared room,14377,three,195,2025-11-02,3.51,270,Y,True,strict,Modern loft -- newly renovated
848,2416,2020-10-22,Nairobi,Milimani,Apartment,Shared room,11482,30,130,2024-02-01,3.82,71,Y,1,strict,Spacious apartment with great view!!!
849,3993,2020-03-17,Nakuru,CBD,Villa,Private room,10468,1,260,2024-04-14,3.54,69,Y,No,Strict ,Luxury villa with pool & gym access
850,3842,2015-07-25,Kisumu,Langata,Loft,Shared room,"KES 16,139",2,241,2024-07-05,4.63,219,False,Yes,flexible,Modern loft -- newly renovated
851,3681,2021-04-02,Nakuru,Milimani,Loft,Hotel room,6174,2,170,2024-02-02,3.72,3,N,Yes,,Luxury villa with pool & gym access
852,2217,2017-10-17,Eldoret,Nyali,Villa,Private room,5816,5,146,2023-04-02,4.8,349,N,0,super_strict_30,Luxury villa with pool & gym access
853,2540,2025-04-15,Eldoret,Nyali,Condo,Entire home/apt,"KES 16,814",3,269,,4.46,289,Y,N,,"Quiet neighborhood, perfect for families"
854,3076,2024-07-06,Nakuru,Karen,Apartment,Hotel room,11195,1,148,2017-01-03,3.84,291,Yes,0,Strict ,Spacious apartment with great view!!!
855,4236,2016-05-12,Nairobi,Karen,Apartment,Hotel room,17314,2,298,2023-02-27,3.74,354,1,0,Strict ,Modern loft -- newly renovated
856,2445,2020-02-13,Nairobi,Parklands,Villa,Entire home/apt,23687,seven,27,2024-02-21,4.44,230,0,False,Strict ,Spacious apartment with great view!!!
857,3386,2016-06-30,Nairobi,Parklands,Villa,Private room,"KES 21,209",1,148,2024-07-07,,79,False,1,moderate,"Quiet neighborhood, perfect for families"
858,4719,2023-12-27,Nakuru,Langata,Condo,Hotel room,"KES 9,879",seven,279,,4.85,65,N,Y,moderate,"Quiet neighborhood, perfect for families"
859,2519,2020-03-18,Nairobi,Kilimani,Bungalow,Hotel room,2714,30,181,,4.58,135,0,No,Strict ,Cozy place near city center
860,2388,2022-06-27,Kisumu,CBD,Loft,Hotel room,13138,2,165,2019-09-27,4.02,190,N,True,Flexible,Spacious apartment with great view!!!
861,2856,2020-12-15,Eldoret,Langata,House,Private room,12213,2,16,2018-11-27,3.8,346,Y,1,super_strict_30,Spacious apartment with great view!!!
862,2365,2021-04-08,Kisumu,CBD,Bungalow,Private room,17477,7,149,2019-05-21,3.97,335,N,N,strict,Affordable stay $$$
863,1499,2021-09-04,Nairobi,Karen,Loft,Private room,"KES 13,571",7,44,,5.0,58,True,0,strict,
864,2680,2018-07-23,Kisumu,Nyali,Apartment,Hotel room,4636,5,188,2018-03-02,4.62,265,True,Yes,flexible,Affordable stay $$$
865,1510,2025-08-27,Nairobi,Karen,Bungalow,Shared room,8118,,138,2017-03-10,4.42,6,No,Yes,strict,Luxury villa with pool & gym access
866,4398,2023-06-21,Nakuru,Nyali,Villa,Entire home/apt,6765$,,60,2021-02-22,4.13,201,0,N,,"Quiet neighborhood, perfect for families"
867,1216,2024-12-30,Kisumu,Parklands,Condo,Shared room,24973,3,293,2016-06-20,4.43,331,Yes,False,strict,"Quiet neighborhood, perfect for families"
868,2324,2019-12-18,Nakuru,Langata,Loft,Private room,9465,5,32,2023-11-16,4.01,236,False,No,super_strict_30,Luxury villa with pool & gym access
869,2155,2021-11-14,Nakuru,Parklands,Condo,Hotel room,"KES 11,097",,298,2024-01-11,3.54,267,True,1,strict,Modern loft -- newly renovated
870,2827,2024-02-21,Mombasa,Nyali,Loft,Hotel room,10208,5,111,,,78,No,True,,
871,4141,2023-01-25,Nairobi,Karen,Bungalow,Shared room,8069,2,290,2018-05-30,4.09,45,Yes,Yes,super_strict_30,
872,4323,2025-01-01,Eldoret,Parklands,Apartment,Shared room,"KES 19,375",7,36,2016-11-01,4.9,242,False,1,moderate,Luxury villa with pool & gym access
873,4486,2020-08-29,Nairobi,Westlands,House,Entire home/apt,6713,7,99,2019-12-15,4.44,287,Yes,False,super_strict_30,Spacious apartment with great view!!!
874,2810,2019-10-14,Eldoret,CBD,Condo,Hotel room,13381,7,22,2018-04-07,3.63,159,Y,True,moderate,Spacious apartment with great view!!!
875,3492,2024-04-25,Nairobi,Milimani,Condo,Shared room,5728,,217,2017-05-09,4.83,114,True,No,super_strict_30,
876,3923,2025-03-03,Nakuru,Nyali,House,Entire home/apt,5909,1,88,2023-05-24,3.9,113,False,1,Strict ,Modern loft -- newly renovated
877,2205,2021-02-22,Kisumu,Nyali,Condo,Private room,2090,14,208,,3.87,125,No,N,,Luxury villa with pool & gym access
878,3214,2020-01-01,Kisumu,Westlands,Condo,Shared room,20940,2,270,2019-01-23,3.95,89,Y,False,Flexible,"Quiet neighborhood, perfect for families"
879,1090,2025-01-22,Mombasa,Langata,Loft,Private room,20090,30,236,2021-06-15,4.37,60,N,1,moderate,Affordable stay $$$
880,1713,2016-10-13,Eldoret,Langata,Loft,Entire home/apt,4208,5,208,,4.32,316,True,1,moderate,Cozy place near city center
881,2881,2023-05-05,Eldoret,Langata,House,Private room,7481$,7,277,2024-08-17,4.24,101,Yes,N,strict,
882,4602,2024-08-29,Eldoret,Milimani,Apartment,Hotel room,13721,7,205,,,113,No,False,moderate,"Quiet neighborhood, perfect for families"
883,1038,2020-04-28,Nakuru,Kilimani,Bungalow,Hotel room,23606,7,77,2019-10-16,4.58,173,Yes,Yes,super_strict_30,Luxury villa with pool & gym access
884,4197,2020-01-18,Eldoret,Westlands,Bungalow,Private room,18631,2,97,2016-11-20,3.97,91,False,True,Strict ,Spacious apartment with great view!!!
885,4522,2017-11-27,Kisumu,Milimani,Condo,Hotel room,15285,7,93,2016-01-29,4.67,182,No,True,Strict ,Modern loft -- newly renovated
886,1172,2023-06-07,Nakuru,Parklands,Apartment,Entire home/apt,8053,3,79,2020-04-24,3.76,204,Y,No,strict,"Quiet neighborhood, perfect for families"
887,1652,2017-10-09,Nairobi,Westlands,House,Hotel room,19381,5,37,,4.67,362,True,False,super_strict_30,
888,1753,2024-06-02,Eldoret,Nyali,House,Private room,2879,2,227,,4.5,194,No,0,super_strict_30,
889,2243,2022-02-24,Eldoret,CBD,Loft,Private room,8860,5,133,2022-04-16,4.52,304,0,True,flexible,Affordable stay $$$
890,4709,2018-02-09,Nairobi,Westlands,Condo,Private room,5270$,seven,195,2019-11-12,4.22,24,N,1,moderate,Luxury villa with pool & gym access
891,2081,2023-08-03,Eldoret,Kilimani,Villa,Shared room,21226,three,281,2022-01-12,4.5,233,Y,True,strict,Cozy place near city center
892,2683,2023-09-21,Nairobi,Karen,House,Private room,15949,3,100,2017-09-30,3.62,15,No,False,Strict ,Affordable stay $$$
893,3523,2020-11-05,Nakuru,Parklands,Condo,Entire home/apt,10588,1,74,,4.78,140,False,Y,,Spacious apartment with great view!!!
894,1455,2020-06-07,Kisumu,Milimani,Apartment,Hotel room,"KES 3,046",1,293,2020-06-24,3.58,107,True,True,Flexible,Luxury villa with pool & gym access
895,1828,2022-01-11,Nairobi,Parklands,Loft,Hotel room,21010$,14,207,2021-09-07,3.72,299,1,N,flexible,Spacious apartment with great view!!!
896,1894,2017-09-06,Mombasa,Parklands,Bungalow,Shared room,23773,3,82,2022-04-27,4.37,338,1,True,super_strict_30,Cozy place near city center
897,2384,2018-01-29,Nairobi,Westlands,Apartment,Shared room,7708,5,142,2023-09-13,4.61,302,True,No,moderate,Cozy place near city center
898,2958,2019-12-07,Eldoret,Westlands,House,Entire home/apt,17850,1,55,2023-12-02,3.61,79,False,0,Strict ,Cozy place near city center
899,4072,2015-11-14,Nakuru,Kilimani,House,Private room,10375,three,286,2016-01-03,4.88,75,N,1,,Modern loft -- newly renovated
900,3434,2023-01-01,Nakuru,CBD,Apartment,Shared room,"KES 2,795",1,210,2024-09-12,,275,0,No,flexible,Affordable stay $$$
901,2996,2018-03-16,Nairobi,Westlands,House,Hotel room,"KES 17,361",7,178,2019-04-15,4.96,267,False,0,super_strict_30,"Quiet neighborhood, perfect for families"
902,3395,2017-08-18,Kisumu,Westlands,Condo,Shared room,"KES 15,473",14,57,2022-04-29,4.41,111,1,Yes,Strict ,Modern loft -- newly renovated
903,1189,2018-01-17,Mombasa,CBD,House,Shared room,19269,2,72,2015-02-17,4.22,315,Y,Yes,Strict ,Cozy place near city center
904,1504,2018-10-07,Nakuru,Kilimani,Loft,Private room,15981,30,214,,4.61,74,Y,Y,super_strict_30,Modern loft -- newly renovated
905,2214,2018-08-02,Eldoret,Milimani,Condo,Shared room,18826,30,265,,,213,N,False,super_strict_30,
906,2531,2025-01-05,Eldoret,Parklands,Villa,Entire home/apt,4780,1,72,2022-07-02,3.99,365,N,False,strict,Modern loft -- newly renovated
907,4440,2021-01-21,Kisumu,Milimani,House,Hotel room,15097,5,270,2017-07-10,4.24,33,Y,Y,Strict ,Affordable stay $$$
908,4480,2015-11-27,Nakuru,Westlands,House,Private room,18917,5,233,,4.87,140,Y,No,super_strict_30,Spacious apartment with great view!!!
909,1823,2016-07-20,Nairobi,CBD,Loft,Hotel room,4286,7,18,2021-06-03,4.93,165,Y,Yes,Flexible,"Quiet neighborhood, perfect for families"
